Office,Parish,Ward,Precinct,"Beryl Billiot (NOPTY)","John Paul Bourgeois (NOPTY)","""Bill"" Cassidy (REP)","Reno Jean Daret III (NOPTY)","Derrick ""Champ"" Edwards (DEM)","""Xan"" John (OTH)","David Drew Knight (DEM)","M.V. ""Vinny"" Mendoza (IND)","Jamar Montgomery (NOPTY)","Dustin Murphy (REP)","Adrian Perkins (DEM)","Antoine Pierce (DEM)","Melinda Mary Price (OTH)","Aaron C. Sigler (LBT)","Peter Wenstrup (DEM)"
"U. S. Senator","St. Martin","00","30","16","12","59","4","122","1","12","2","0","3","140","16","3","0","2"
"U. S. Senator","St. Martin","00","31","0","1","17","1","6","0","0","0","0","0","6","0","0","0","0"
"U. S. Senator","St. Martin","00","32","1","0","98","0","6","0","1","0","0","0","9","1","0","0","0"
"U. S. Senator","St. Martin","00","33","2","8","453","1","23","1","7","3","0","22","42","1","1","4","2"
"U. S. Senator","St. Martin","00","34","12","16","562","2","67","2","11","1","1","22","84","17","6","7","3"
"U. S. Senator","St. Martin","00","35","3","0","249","0","9","0","3","0","0","11","9","5","0","0","0"
"U. S. Senator","St. Martin","00","36","4","10","190","1","42","0","8","3","3","5","32","5","3","2","3"
"U. S. Senator","St. Martin","00","37","0","0","4","0","0","0","0","0","0","4","0","0","0","0","0"
"U. S. Senator","St. Martin","00","38","1","0","11","0","0","0","0","0","0","0","1","0","1","0","0"
"U. S. Senator","St. Martin","00","39","2","3","158","2","42","0","4","0","2","5","39","6","3","7","0"
"U. S. Senator","St. Martin","00","40","8","9","387","3","77","0","15","1","0","17","59","12","2","6","4"
"U. S. Senator","St. Martin","00","41","1","0","92","0","7","0","4","1","1","1","15","0","0","2","0"
"U. S. Senator","St. Martin","00","42","3","2","184","0","19","1","5","1","0","3","19","4","1","3","1"
"U. S. Senator","St. Martin","00","43","7","5","336","0","23","1","3","0","1","6","27","2","1","1","0"
"U. S. Senator","St. Martin","00","44","4","5","372","1","17","1","2","0","2","15","20","4","4","6","1"
"U. S. Senator","St. Martin","00","45","4","4","208","0","29","1","1","0","2","4","34","5","1","1","1"
"U. S. Senator","St. Martin","00","46","12","8","189","2","62","1","6","0","1","3","98","9","2","0","5"
"U. S. Senator","St. Martin","00","47","4","9","173","0","19","0","2","1","0","7","33","3","0","0","2"
"U. S. Senator","St. Martin","00","48","5","7","470","1","30","1","7","5","2","14","25","3","6","1","2"
"U. S. Senator","St. Martin","00","49","2","7","322","0","19","0","2","0","0","4","30","4","0","2","1"
"U. S. Senator","St. Martin","00","50","5","2","218","1","51","3","12","1","2","3","56","8","2","2","0"
"U. S. Senator","St. Martin","00","51","7","4","522","1","41","3","13","3","3","18","90","4","6","6","2"
"U. S. Senator","St. Martin","Early Voting","","69","67","8883","22","1342","9","215","33","17","239","1702","398","73","35","101"
"U. S. Senator","St. Martin","Provisional Votes","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U. S. Senator","St. Mary","00","01","0","0","54","0","1","0","0","0","0","0","2","0","0","0","0"
"U. S. Senator","St. Mary","00","02","3","9","48","0","27","1","5","1","1","1","47","7","1","2","2"
"U. S. Senator","St. Mary","00","03","6","10","27","4","37","0","4","0","7","1","101","10","1","1","3"
"U. S. Senator","St. Mary","00","04","2","3","110","2","10","0","3","1","0","2","31","3","1","0","0"
"U. S. Senator","St. Mary","00","05A","4","8","106","2","38","1","4","0","1","3","86","6","1","0","4"
"U. S. Senator","St. Mary","00","06","4","8","198","0","2","0","0","1","1","5","11","2","0","0","1"
"U. S. Senator","St. Mary","00","07","4","9","255","2","26","1","5","3","4","11","44","7","3","4","3"
"U. S. Senator","St. Mary","00","08","1","3","85","1","10","0","0","0","1","1","23","1","0","2","1"
"U. S. Senator","St. Mary","00","09","6","8","45","0","45","2","13","3","0","0","126","12","0","0","2"
"U. S. Senator","St. Mary","00","10","6","4","15","2","39","0","4","1","3","1","94","9","0","0","3"
"U. S. Senator","St. Mary","00","11","2","7","141","0","11","1","3","1","0","4","25","2","0","1","0"
"U. S. Senator","St. Mary","00","12","11","11","123","0","38","0","10","1","0","3","80","7","0","1","1"
"U. S. Senator","St. Mary","00","13","4","3","97","1","10","0","1","1","0","2","42","4","0","1","1"
"U. S. Senator","St. Mary","00","14","3","6","48","0","19","0","7","2","1","2","38","4","1","1","1"
"U. S. Senator","St. Mary","00","15","1","5","81","1","13","0","7","5","1","4","48","3","1","0","1"
"U. S. Senator","St. Mary","00","16","1","3","150","1","13","0","6","3","0","6","32","2","0","2","1"
"U. S. Senator","St. Mary","00","17","4","1","71","0","20","0","2","2","0","2","46","4","0","0","0"
"U. S. Senator","St. Mary","00","18","4","5","13","0","45","0","14","0","0","1","82","8","0","2","2"
"U. S. Senator","St. Mary","00","19","4","10","108","1","31","0","2","2","0","6","48","1","1","1","0"
"U. S. Senator","St. Mary","00","20","5","7","18","1","47","1","5","1","1","2","89","7","1","0","4"
"U. S. Senator","St. Mary","00","21","5","3","227","1","9","1","2","2","1","5","24","1","0","1","0"
"U. S. Senator","St. Mary","00","22","3","12","115","2","29","1","6","0","0","5","78","8","0","0","2"
"U. S. Senator","St. Mary","00","23","1","1","87","0","9","0","0","0","0","1","18","3","0","0","1"
"U. S. Senator","St. Mary","00","23A","1","1","94","0","8","0","1","0","0","8","10","3","0","0","1"
"U. S. Senator","St. Mary","00","24","0","0","26","0","0","1","0","0","0","1","0","0","0","0","0"
"U. S. Senator","St. Mary","00","24A","4","4","340","1","28","1","2","2","2","16","36","3","1","3","2"
"U. S. Senator","St. Mary","00","25","2","3","158","0","12","0","3","1","0","2","32","3","0","1","0"
"U. S. Senator","St. Mary","00","25A","6","5","233","1","21","1","5","2","0","6","38","4","3","0","1"
"U. S. Senator","St. Mary","00","26","8","10","110","3","62","0","9","4","1","8","87","9","2","1","3"
"U. S. Senator","St. Mary","00","27","12","6","195","0","54","1","10","2","3","10","69","12","1","2","3"
"U. S. Senator","St. Mary","00","28","5","5","163","1","22","1","4","2","1","1","29","7","1","0","2"
"U. S. Senator","St. Mary","00","29","6","2","237","0","9","2","2","2","0","7","12","1","0","1","2"
"U. S. Senator","St. Mary","00","30","5","2","330","1","9","1","3","0","0","20","16","0","5","2","1"
"U. S. Senator","St. Mary","00","31","5","4","197","0","9","3","2","0","0","11","3","0","1","0","2"
"U. S. Senator","St. Mary","00","32","2","1","299","0","8","1","2","0","0","8","15","3","1","1","1"
"U. S. Senator","St. Mary","00","33","2","1","249","0","12","0","0","0","0","8","10","3","0","0","0"
"U. S. Senator","St. Mary","00","34","5","2","260","2","11","1","0","0","0","9","20","5","0","3","3"
"U. S. Senator","St. Mary","00","35","3","3","202","0","11","1","3","2","1","9","17","3","3","0","0"
"U. S. Senator","St. Mary","00","36","7","3","200","0","27","2","3","0","0","4","41","4","0","4","1"
"U. S. Senator","St. Mary","00","37","4","2","206","0","4","1","2","2","0","6","12","1","1","4","1"
"U. S. Senator","St. Mary","00","38","6","3","121","0","10","0","3","0","0","0","9","5","1","0","1"
"U. S. Senator","St. Mary","00","39","1","4","168","0","22","1","1","0","0","6","22","9","4","1","0"
"U. S. Senator","St. Mary","00","40","2","3","116","0","8","0","2","0","0","3","20","2","1","1","1"
"U. S. Senator","St. Mary","00","41","2","2","89","0","12","1","4","0","0","4","25","18","1","0","1"
"U. S. Senator","St. Mary","00","41A","5","1","101","0","6","1","0","1","0","6","18","2","0","0","0"
"U. S. Senator","St. Mary","00","42","5","0","179","0","15","0","2","0","0","6","17","2","2","0","0"
"U. S. Senator","St. Mary","00","43","5","1","238","1","8","0","1","1","0","5","7","2","0","0","1"
"U. S. Senator","St. Mary","00","44","1","0","21","0","22","1","3","2","0","3","40","9","0","3","3"
"U. S. Senator","St. Mary","00","45","5","2","155","1","5","1","5","0","0","4","22","3","1","1","1"
"U. S. Senator","St. Mary","00","46","2","1","4","0","15","0","2","1","0","0","48","3","1","0","0"
"U. S. Senator","St. Mary","00","47","15","5","235","1","26","5","3","1","0","9","32","6","2","1","3"
"U. S. Senator","St. Mary","Early Voting","","95","69","6913","16","1032","11","182","34","24","199","1684","388","31","29","44"
"U. S. Senator","St. Mary","Provisional Votes","","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"U. S. Senator","St. Tammany","00","101","2","5","437","0","6","1","4","2","1","14","26","2","1","2","0"
"U. S. Senator","St. Tammany","00","102","1","2","387","0","15","1","1","3","3","4","13","2","3","2","1"
"U. S. Senator","St. Tammany","00","103","1","0","290","0","8","0","0","0","0","8","12","1","1","0","2"
"U. S. Senator","St. Tammany","00","104","1","2","284","0","13","1","2","2","1","3","22","2","2","0","2"
"U. S. Senator","St. Tammany","00","105","4","1","223","0","10","0","3","2","3","6","17","1","1","5","2"
"U. S. Senator","St. Tammany","00","106","7","5","515","1","25","0","3","3","1","15","30","4","0","8","3"
"U. S. Senator","St. Tammany","00","107","0","1","344","0","8","2","1","5","0","1","27","5","2","5","1"
"U. S. Senator","St. Tammany","00","108","0","0","168","0","5","0","1","1","1","8","6","3","0","3","0"
"U. S. Senator","St. Tammany","00","110","1","4","348","2","23","2","5","0","2","7","26","1","1","3","3"
"U. S. Senator","St. Tammany","00","111","4","2","467","0","20","0","0","6","4","10","30","1","3","5","6"
"U. S. Senator","St. Tammany","00","112","2","1","383","0","21","0","1","1","2","6","20","6","1","3","0"
"U. S. Senator","St. Tammany","00","113","2","0","93","0","11","0","2","0","1","6","11","5","0","3","0"
"U. S. Senator","St. Tammany","00","114","2","3","381","1","11","1","4","4","3","16","17","3","2","3","0"
"U. S. Senator","St. Tammany","00","115","0","0","257","1","1","1","0","2","0","7","12","1","0","3","0"
"U. S. Senator","St. Tammany","00","116","1","0","229","0","9","0","4","1","1","8","10","1","0","3","3"
"U. S. Senator","St. Tammany","00","118","1","3","314","0","15","0","0","1","0","7","17","4","2","3","0"
"U. S. Senator","St. Tammany","00","201","7","4","346","1","27","0","5","4","3","7","73","5","1","2","2"
"U. S. Senator","St. Tammany","00","202","3","4","437","1","11","0","0","4","1","12","16","3","2","3","0"
"U. S. Senator","St. Tammany","00","203","5","6","672","0","15","2","9","2","1","17","19","2","1","4","2"
"U. S. Senator","St. Tammany","00","204","3","1","422","1","3","1","3","2","2","10","31","3","3","1","6"
"U. S. Senator","St. Tammany","00","205","9","4","625","1","12","2","5","1","2","20","20","11","3","2","4"
"U. S. Senator","St. Tammany","00","206","1","2","319","1","15","0","3","1","0","5","13","1","2","2","1"
"U. S. Senator","St. Tammany","00","207","4","3","246","1","8","1","1","2","1","5","10","2","0","1","1"
"U. S. Senator","St. Tammany","00","301","5","3","347","2","10","2","3","1","2","7","11","2","2","3","1"
"U. S. Senator","St. Tammany","00","302","2","0","336","1","9","0","1","2","1","4","14","3","1","3","2"
"U. S. Senator","St. Tammany","00","303","0","3","291","0","16","0","4","3","4","12","20","7","2","10","1"
"U. S. Senator","St. Tammany","00","304","9","3","318","0","52","1","8","1","3","9","78","5","3","4","3"
"U. S. Senator","St. Tammany","00","305","3","6","175","0","29","1","5","1","2","10","35","6","0","5","4"
"U. S. Senator","St. Tammany","00","306","0","2","251","0","4","0","0","0","2","10","12","1","1","4","0"
"U. S. Senator","St. Tammany","00","307","3","4","368","1","20","0","3","4","1","9","34","5","2","11","3"
"U. S. Senator","St. Tammany","00","308","0","2","240","1","11","0","3","0","0","3","10","2","0","2","1"
"U. S. Senator","St. Tammany","00","309","1","3","263","1","21","0","8","0","1","13","32","5","2","4","5"
"U. S. Senator","St. Tammany","00","310","3","0","463","2","29","0","6","2","1","11","33","4","1","7","2"
"U. S. Senator","St. Tammany","00","312","3","6","346","0","32","2","5","3","0","14","45","11","2","8","2"
"U. S. Senator","St. Tammany","00","313","2","4","276","1","23","2","3","2","4","9","24","2","2","4","2"
"U. S. Senator","St. Tammany","00","314","5","7","392","0","34","1","9","4","1","20","28","2","1","9","1"
"U. S. Senator","St. Tammany","00","401","2","3","448","2","21","2","5","4","1","11","44","5","4","3","2"
"U. S. Senator","St. Tammany","00","402","2","1","291","1","10","0","2","1","0","4","19","4","0","2","1"
"U. S. Senator","St. Tammany","00","403","1","4","283","1","26","2","5","6","2","17","43","4","3","7","3"
"U. S. Senator","St. Tammany","00","404","0","1","254","1","10","0","3","1","1","4","20","3","0","1","0"
"U. S. Senator","St. Tammany","00","405","1","3","226","0","10","1","2","2","0","3","13","2","2","6","3"
"U. S. Senator","St. Tammany","00","406","1","2","207","0","10","0","1","5","1","6","12","5","0","4","1"
"U. S. Senator","St. Tammany","00","407","1","1","273","0","8","0","2","2","2","4","26","4","0","4","1"
"U. S. Senator","St. Tammany","00","408","2","1","514","1","27","2","4","2","3","14","34","3","1","22","3"
"U. S. Senator","St. Tammany","00","409","4","3","312","2","50","3","9","4","3","7","61","9","2","9","3"
"U. S. Senator","St. Tammany","00","410","2","2","319","2","18","0","5","4","0","4","39","2","2","2","2"
"U. S. Senator","St. Tammany","00","411","1","3","324","0","16","0","0","0","0","10","15","7","0","2","0"
"U. S. Senator","St. Tammany","00","412","0","5","454","1","12","2","4","0","1","16","19","3","1","6","3"
"U. S. Senator","St. Tammany","00","413","0","3","297","0","12","0","1","1","1","6","13","2","0","6","2"
"U. S. Senator","St. Tammany","00","414","1","1","279","0","10","0","1","0","1","8","21","0","0","1","1"
"U. S. Senator","St. Tammany","00","415","0","1","186","0","14","0","5","0","0","1","14","2","1","2","0"
"U. S. Senator","St. Tammany","00","416","2","2","245","0","10","0","1","1","1","2","15","2","2","3","1"
"U. S. Senator","St. Tammany","00","417","2","1","311","0","15","0","2","3","2","6","25","4","1","3","3"
"U. S. Senator","St. Tammany","00","418","1","3","312","0","12","0","3","0","0","5","26","2","1","6","2"
"U. S. Senator","St. Tammany","00","419","2","0","239","1","8","0","1","1","2","2","16","4","1","4","3"
"U. S. Senator","St. Tammany","00","420","1","5","231","0","9","0","1","2","2","9","16","2","2","4","3"
"U. S. Senator","St. Tammany","00","421","0","1","260","1","10","0","3","1","0","2","16","8","1","5","3"
"U. S. Senator","St. Tammany","00","422","3","1","268","0","16","1","4","0","1","11","27","2","1","8","2"
"U. S. Senator","St. Tammany","00","426","3","1","169","2","13","0","4","3","0","8","21","2","3","5","0"
"U. S. Senator","St. Tammany","00","427","2","2","217","0","8","0","1","5","1","7","12","2","0","2","0"
"U. S. Senator","St. Tammany","00","429","3","1","195","0","16","0","4","2","0","7","26","12","0","1","2"
"U. S. Senator","St. Tammany","00","430","3","6","329","0","19","0","2","4","2","15","32","1","1","4","3"
"U. S. Senator","St. Tammany","00","501","1","3","219","0","9","0","5","0","1","2","17","4","3","2","1"
"U. S. Senator","St. Tammany","00","502","3","2","476","2","12","0","4","5","3","11","25","5","3","6","1"
"U. S. Senator","St. Tammany","00","503","4","7","472","1","9","1","2","2","4","13","12","6","2","3","2"
"U. S. Senator","St. Tammany","00","504","1","0","330","0","11","0","3","1","1","8","14","3","0","6","0"
"U. S. Senator","St. Tammany","00","505","2","6","469","0","13","0","4","3","6","7","16","8","1","2","1"
"U. S. Senator","St. Tammany","00","601","0","2","268","0","2","0","1","4","3","4","16","4","1","7","0"
"U. S. Senator","St. Tammany","00","602","4","2","453","1","13","0","3","1","2","8","16","2","0","2","4"
"U. S. Senator","St. Tammany","00","603","2","0","469","1","13","0","1","4","5","19","19","5","2","2","1"
"U. S. Senator","St. Tammany","00","604","1","1","367","1","19","0","1","1","3","7","10","2","1","4","3"
"U. S. Senator","St. Tammany","00","605","1","2","211","0","3","0","2","2","1","11","7","1","0","1","2"
"U. S. Senator","St. Tammany","00","606","4","5","460","0","17","0","4","1","3","11","17","3","0","4","1"
"U. S. Senator","St. Tammany","00","609","0","0","24","0","0","0","0","0","0","1","5","2","0","0","0"
"U. S. Senator","St. Tammany","00","701","8","6","276","2","60","0","12","2","8","9","101","8","4","5","6"
"U. S. Senator","St. Tammany","00","702","6","4","278","4","54","2","5","6","2","7","68","5","2","5","2"
"U. S. Senator","St. Tammany","00","703","2","4","181","1","36","0","9","4","1","5","111","3","1","2","1"
"U. S. Senator","St. Tammany","00","704","4","5","369","2","26","0","4","4","1","8","37","5","0","2","6"
"U. S. Senator","St. Tammany","00","705","4","1","166","0","13","0","5","0","2","5","25","3","2","2","2"
"U. S. Senator","St. Tammany","00","706","4","1","424","1","20","0","8","2","2","12","33","2","1","4","0"
"U. S. Senator","St. Tammany","00","801","1","2","446","2","31","1","1","2","3","13","23","7","2","4","1"
"U. S. Senator","St. Tammany","00","802","6","9","516","1","66","1","13","11","0","21","62","11","3","7","5"
"U. S. Senator","St. Tammany","00","803","10","3","425","1","63","1","7","4","3","11","43","8","4","5","2"
"U. S. Senator","St. Tammany","00","804","5","2","483","1","47","0","3","5","3","22","25","5","2","6","2"
"U. S. Senator","St. Tammany","00","805","2","7","408","0","34","2","5","2","2","11","24","5","0","4","3"
"U. S. Senator","St. Tammany","00","806","2","1","369","2","50","0","7","6","1","14","49","7","0","9","4"
"U. S. Senator","St. Tammany","00","807","2","1","332","0","22","0","4","7","0","6","27","1","1","6","5"
"U. S. Senator","St. Tammany","00","808","1","1","352","0","22","0","3","3","4","13","30","5","2","2","1"
"U. S. Senator","St. Tammany","00","809","10","3","141","0","43","0","6","2","2","0","48","6","2","1","7"
"U. S. Senator","St. Tammany","00","810","1","1","296","1","27","0","3","2","0","8","33","2","0","2","2"
"U. S. Senator","St. Tammany","00","811","5","1","366","0","54","0","7","5","3","15","52","8","3","4","2"
"U. S. Senator","St. Tammany","00","812","2","4","392","1","21","0","4","3","2","8","28","3","0","2","0"
"U. S. Senator","St. Tammany","00","813","3","2","238","1","25","0","3","2","0","7","24","3","0","1","0"
"U. S. Senator","St. Tammany","00","814","3","4","77","0","95","1","10","1","3","2","76","12","0","0","2"
"U. S. Senator","St. Tammany","00","815","2","3","264","0","22","1","1","3","1","5","20","7","1","1","0"
"U. S. Senator","St. Tammany","00","816","2","2","191","0","19","0","2","0","0","8","18","1","0","2","1"
"U. S. Senator","St. Tammany","00","817","1","2","456","0","26","0","3","1","2","12","41","6","1","5","2"
"U. S. Senator","St. Tammany","00","818","1","6","54","2","74","0","10","1","2","2","53","13","0","1","1"
"U. S. Senator","St. Tammany","00","901","6","3","237","0","53","3","3","6","3","3","55","7","2","5","3"
"U. S. Senator","St. Tammany","00","902","0","4","141","1","19","1","3","1","1","4","21","5","4","3","1"
"U. S. Senator","St. Tammany","00","903","4","4","584","1","19","3","5","2","5","25","36","2","2","5","4"
"U. S. Senator","St. Tammany","00","904","8","8","243","1","104","1","12","9","2","8","99","15","4","3","4"
"U. S. Senator","St. Tammany","00","905","3","5","363","0","39","0","11","5","2","22","45","11","4","4","5"
"U. S. Senator","St. Tammany","00","906","2","2","217","0","20","0","3","4","2","10","39","4","1","5","1"
"U. S. Senator","St. Tammany","00","907","2","2","89","0","14","0","7","3","1","7","18","1","2","2","0"
"U. S. Senator","St. Tammany","00","909","4","5","220","0","134","0","9","3","3","6","96","23","5","1","3"
"U. S. Senator","St. Tammany","00","910","3","0","481","0","27","0","2","5","0","14","27","5","1","6","1"
"U. S. Senator","St. Tammany","00","911","6","2","452","3","14","0","4","3","3","6","24","1","1","5","4"
"U. S. Senator","St. Tammany","00","912","3","2","38","0","19","0","1","0","0","1","24","3","2","3","0"
"U. S. Senator","St. Tammany","00","913","3","5","279","0","113","1","13","4","3","8","141","18","7","5","3"
"U. S. Senator","St. Tammany","00","914","10","3","131","1","63","2","6","1","3","4","102","9","1","0","3"
"U. S. Senator","St. Tammany","00","915","4","4","413","1","52","2","10","7","6","14","68","8","4","9","4"
"U. S. Senator","St. Tammany","00","916","0","0","86","1","10","0","2","0","0","4","17","3","1","3","0"
"U. S. Senator","St. Tammany","00","917","2","2","142","1","6","0","2","0","0","3","12","2","0","2","1"
"U. S. Senator","St. Tammany","00","918","3","1","143","0","11","1","1","3","0","5","9","5","2","0","1"
"U. S. Senator","St. Tammany","00","921","2","2","229","1","27","0","3","3","2","8","27","4","1","3","6"
"U. S. Senator","St. Tammany","00","922","1","4","112","0","34","0","1","0","3","4","29","2","4","0","0"
"U. S. Senator","St. Tammany","00","A01","2","2","284","1","31","1","2","1","2","12","30","4","0","1","1"
"U. S. Senator","St. Tammany","00","A02","6","11","365","2","30","2","6","1","2","8","47","8","6","8","2"
"U. S. Senator","St. Tammany","00","A03","3","1","139","0","11","0","5","1","2","7","14","1","0","2","0"
"U. S. Senator","St. Tammany","00","A04","1","0","148","0","11","0","5","2","0","7","14","2","3","6","1"
"U. S. Senator","St. Tammany","00","C01","2","1","183","1","8","0","3","1","0","8","17","4","1","4","0"
"U. S. Senator","St. Tammany","00","C02","0","0","156","0","10","0","1","1","0","2","13","1","1","1","2"
"U. S. Senator","St. Tammany","00","C03","2","3","189","0","21","0","6","4","1","6","22","3","2","4","0"
"U. S. Senator","St. Tammany","00","C04","1","0","111","0","11","0","1","1","0","0","14","3","0","3","0"
"U. S. Senator","St. Tammany","00","C05","2","2","126","1","6","0","1","1","0","0","10","1","1","2","0"
"U. S. Senator","St. Tammany","00","C06","3","7","97","1","27","1","4","4","5","4","45","7","0","8","1"
"U. S. Senator","St. Tammany","00","C07","2","3","26","0","17","0","2","1","1","0","26","0","0","0","2"
"U. S. Senator","St. Tammany","00","C08","3","1","61","0","22","0","2","1","4","2","28","4","1","5","1"
"U. S. Senator","St. Tammany","00","C09","3","4","273","0","19","1","4","4","1","8","36","3","1","6","2"
"U. S. Senator","St. Tammany","00","C10","0","1","45","0","4","1","1","0","0","0","8","2","1","0","0"
"U. S. Senator","St. Tammany","00","C11","1","4","261","0","25","0","7","6","4","12","28","7","1","4","0"
"U. S. Senator","St. Tammany","00","F01","3","6","249","1","30","0","8","3","5","8","70","6","1","3","2"
"U. S. Senator","St. Tammany","00","M01","3","1","396","0","24","0","3","2","4","5","35","6","0","3","2"
"U. S. Senator","St. Tammany","00","M02","1","4","310","0","25","0","8","2","1","4","41","5","3","9","2"
"U. S. Senator","St. Tammany","00","M03","0","3","139","1","10","0","6","4","2","4","21","4","1","5","2"
"U. S. Senator","St. Tammany","00","M04","1","5","255","0","13","0","5","1","0","11","37","4","0","8","1"
"U. S. Senator","St. Tammany","00","M05","2","5","192","2","19","1","4","1","3","7","44","7","0","2","2"
"U. S. Senator","St. Tammany","00","M06","2","2","258","1","23","0","3","1","0","10","29","4","1","2","4"
"U. S. Senator","St. Tammany","00","M07","0","0","268","0","17","2","3","3","2","8","33","4","2","8","1"
"U. S. Senator","St. Tammany","00","M08","1","0","255","0","15","2","1","0","0","5","19","0","1","3","3"
"U. S. Senator","St. Tammany","00","M09","0","1","79","0","6","0","2","0","1","2","12","0","0","1","1"
"U. S. Senator","St. Tammany","00","M10","6","5","505","1","24","1","6","10","3","22","48","4","1","15","2"
"U. S. Senator","St. Tammany","00","M11","0","1","279","0","13","0","1","0","3","6","18","2","4","2","1"
"U. S. Senator","St. Tammany","00","MD1","2","7","371","2","14","0","3","1","1","7","29","5","0","8","0"
"U. S. Senator","St. Tammany","00","P01","6","7","640","2","19","1","2","1","4","28","21","6","2","9","0"
"U. S. Senator","St. Tammany","00","S01","1","4","408","1","33","0","5","3","1","14","33","3","0","6","5"
"U. S. Senator","St. Tammany","00","S02","1","5","187","0","15","0","4","2","2","7","21","0","2","2","0"
"U. S. Senator","St. Tammany","00","S03","1","4","321","0","32","2","6","2","3","15","18","4","0","4","4"
"U. S. Senator","St. Tammany","00","S04","4","2","306","2","15","1","2","2","3","12","26","3","1","4","2"
"U. S. Senator","St. Tammany","00","S05","1","6","462","1","41","2","10","6","2","10","35","9","0","5","1"
"U. S. Senator","St. Tammany","00","S06","9","6","302","0","49","1","7","2","6","11","43","5","2","4","9"
"U. S. Senator","St. Tammany","00","S07","7","1","86","2","51","0","1","0","2","3","67","8","0","1","1"
"U. S. Senator","St. Tammany","00","S08","5","3","255","0","45","1","2","6","3","7","51","6","4","5","3"
"U. S. Senator","St. Tammany","00","S09","2","2","241","0","11","0","1","2","0","4","22","2","2","4","0"
"U. S. Senator","St. Tammany","00","S10","6","4","367","1","29","2","4","4","2","12","52","4","2","3","2"
"U. S. Senator","St. Tammany","00","S11","2","0","240","1","22","1","4","2","1","10","23","4","0","1","1"
"U. S. Senator","St. Tammany","00","S13","1","2","142","1","19","1","1","1","2","4","11","2","1","1","2"
"U. S. Senator","St. Tammany","00","S15","1","3","213","1","43","0","8","5","3","5","37","11","2","6","2"
"U. S. Senator","St. Tammany","00","S16","4","1","205","2","30","0","4","2","2","5","35","4","1","1","3"
"U. S. Senator","St. Tammany","00","S17","1","3","288","1","33","0","3","3","1","9","28","5","0","1","5"
"U. S. Senator","St. Tammany","00","S18","3","0","225","0","13","0","6","5","2","3","19","0","4","3","0"
"U. S. Senator","St. Tammany","00","S19","5","3","58","2","45","1","8","4","2","3","43","8","2","0","3"
"U. S. Senator","St. Tammany","00","S20","6","1","147","0","45","0","7","3","2","4","33","10","1","1","2"
"U. S. Senator","St. Tammany","00","S21","2","3","143","0","61","1","7","4","3","3","57","13","2","9","5"
"U. S. Senator","St. Tammany","00","S22","4","2","269","1","36","0","2","2","0","0","41","4","0","2","0"
"U. S. Senator","St. Tammany","00","S23","1","0","126","0","8","0","1","0","0","6","21","1","2","3","1"
"U. S. Senator","St. Tammany","00","S24","3","4","38","2","31","0","10","0","2","1","51","9","1","0","0"
"U. S. Senator","St. Tammany","00","S25","8","3","61","1","56","1","4","3","2","5","35","5","3","0","0"
"U. S. Senator","St. Tammany","Early Voting","","298","273","50251","65","6349","56","1225","357","167","1372","10571","1769","234","458","653"
"U. S. Senator","St. Tammany","Provisional Votes","","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0"
"U. S. Senator","Tangipahoa","00","001","14","4","74","0","71","0","5","1","0","2","75","4","1","0","2"
"U. S. Senator","Tangipahoa","00","002","33","8","111","4","139","0","22","1","3","7","192","11","2","4","6"
"U. S. Senator","Tangipahoa","00","006","6","8","21","4","59","0","11","1","1","5","85","7","1","1","6"
"U. S. Senator","Tangipahoa","00","011","9","8","101","1","72","1","6","1","4","4","75","6","2","1","2"
"U. S. Senator","Tangipahoa","00","015","4","1","87","1","30","0","2","1","0","2","40","0","1","2","1"
"U. S. Senator","Tangipahoa","00","016","4","5","174","1","16","0","2","1","2","6","25","0","0","0","2"
"U. S. Senator","Tangipahoa","00","017","7","6","57","3","100","3","17","1","1","3","107","6","1","1","0"
"U. S. Senator","Tangipahoa","00","018","15","7","63","0","84","0","12","3","1","5","85","5","1","1","3"
"U. S. Senator","Tangipahoa","00","026","8","4","71","2","39","1","7","1","0","3","71","5","4","0","2"
"U. S. Senator","Tangipahoa","00","027","4","2","102","1","14","0","5","1","0","2","27","0","3","1","1"
"U. S. Senator","Tangipahoa","00","028","0","1","159","0","11","3","6","1","1","6","20","0","0","0","0"
"U. S. Senator","Tangipahoa","00","028A","0","0","47","0","6","0","3","0","0","1","12","3","1","0","0"
"U. S. Senator","Tangipahoa","00","033","2","3","195","1","15","0","3","1","2","6","17","0","0","1","0"
"U. S. Senator","Tangipahoa","00","040","0","4","100","0","18","1","6","2","0","1","20","2","0","0","1"
"U. S. Senator","Tangipahoa","00","040A","7","3","297","1","70","3","9","2","1","8","60","13","2","13","2"
"U. S. Senator","Tangipahoa","00","041","3","0","228","0","17","0","3","1","0","6","42","2","0","5","2"
"U. S. Senator","Tangipahoa","00","042","5","2","78","0","49","0","12","0","1","1","47","4","0","2","0"
"U. S. Senator","Tangipahoa","00","042A","4","3","100","0","23","0","5","1","1","2","39","3","5","3","0"
"U. S. Senator","Tangipahoa","00","043","5","4","37","1","52","1","10","4","0","1","62","5","1","2","0"
"U. S. Senator","Tangipahoa","00","044","5","6","403","1","34","2","3","3","1","7","49","6","0","5","1"
