Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","214B","22","96","15","302","17","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","215","21","51","8","254","196","83"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","216A","11","63","5","227","47","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","216B","10","29","11","179","175","68"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","216C","12","51","2","246","22","14"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","217","17","66","7","355","184","92"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","225","24","81","12","262","55","29"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","226","23","60","14","201","203","85"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","227","21","61","8","198","174","39"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","228","18","80","12","168","135","63"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","229","12","23","5","117","201","73"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","230","22","45","23","234","287","99"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","231","22","53","7","187","173","47"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","232A","16","45","8","208","44","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","232B","17","46","7","276","75","33"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","234","25","78","17","251","253","83"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","235","9","19","10","104","60","22"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","236","22","73","10","316","107","53"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","237","20","69","10","296","175","72"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","238A","14","57","12","214","75","46"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","238B","13","44","2","197","109","52"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G001","8","20","3","53","90","21"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G002","22","24","13","144","73","25"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G003","15","25","10","160","217","84"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G004","8","21","7","95","29","19"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G005","5","13","3","66","119","41"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G006","10","25","5","146","47","10"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G007","14","68","12","249","45","16"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G008","5","25","6","117","56","28"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G009","13","33","6","150","183","78"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G010","9","32","10","188","293","142"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G011","27","72","11","250","108","62"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G012","3","5","4","62","137","53"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","G013","8","12","6","69","109","42"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K013B","5","42","3","123","24","10"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K015","19","49","6","109","128","32"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K021","13","37","7","162","8","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K022","7","41","2","186","5","1"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K023","26","72","4","221","44","15"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K024","14","45","9","112","17","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K026","21","29","1","162","37","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K029","15","35","8","91","150","44"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K030","8","25","8","58","55","18"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K031","9","27","4","93","5","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","K033","11","28","4","168","23","11"
